날짜,검사수,검사수 증가량,영업 제한 시각,평균기온(°C),일강수량(mm),Won
20210605,0.4898595644972878,0.4734888653234358,0.16666666666666652,0.7660944206008584,0.0,0.0
20210606,0.4910455011166858,0.17417098965349231,0.16666666666666652,0.8133047210300429,0.0,0.0
20210607,0.492132803845669,0.1577914075262962,0.16666666666666652,0.7725321888412018,0.0,0.05474878577630208
20210608,0.495264149411273,0.4972342437877963,0.16666666666666652,0.8261802575107297,0.0012919896640826874,0.0882831800072327
20210609,0.49838798741041507,0.4959875039408443,0.16666666666666652,0.8733905579399142,0.0,0.10283097609394574
20210610,0.5011562083820857,0.43693216015591413,0.16666666666666652,0.8540772532188841,0.07881136950904392,0.23023100386506898
20210611,0.5041076312342034,0.467355478490155,0.16666666666666652,0.7811158798283262,0.05943152454780361,0.040700717318957455
20210612,0.5066507977997481,0.39955862543349285,0.16666666666666652,0.8390557939914163,0.0,0.0
20210613,0.5077184255269687,0.154524089306698,0.16666666666666652,0.851931330472103,0.0,0.0
20210614,0.5088048653172779,0.15764810409561206,0.16666666666666652,0.851931330472103,0.0,0.06240644412129573
20210615,0.5114775589777594,0.4210684703791809,0.16666666666666652,0.8025751072961373,0.024547803617571057,0.07852361384710929
20210616,0.5143179216225595,0.44891232696110744,0.16666666666666652,0.8412017167381974,0.0,0.06279859679533445
20210617,0.5167731547372443,0.38495600584677997,0.16666666666666652,0.7896995708154506,0.0,0.2514431065816036
20210618,0.519898028262795,0.49615946805766525,0.16666666666666652,0.7489270386266095,0.0813953488372093,0.06330824268299569
20210619,0.522409697566746,0.39432805021352213,0.16666666666666652,0.7982832618025751,0.0,0.0
20210620,0.5234866450316435,0.15607176635808662,0.16666666666666652,0.8111587982832618,0.0,0.0
20210621,0.5243852230726676,0.12645094723567682,0.16666666666666652,0.8261802575107297,0.0,0.06085766994172642
20210622,0.5273188693881048,0.46440342781806193,0.16666666666666652,0.8090128755364807,0.0,0.115007545505732
20210623,0.5298995737859598,0.40579232466825255,0.16666666666666652,0.8004291845493562,0.09689922480620154,0.060799686277860775
20210624,0.532387684864116,0.3904158665558453,0.16666666666666652,0.8133047210300429,0.0,0.2826016964799339
20210625,0.5347834615041764,0.3750823994726434,0.16666666666666652,0.8369098712446352,0.0,0.04014682074045139
20210626,0.5372834811360312,0.3923934538992863,0.16666666666666652,0.8090128755364807,0.05813953488372093,0.0
20210627,0.5384192810184816,0.1658450603307443,0.16666666666666652,0.8454935622317596,0.4935400516795866,0.0
20210628,0.5394764671877492,0.15279011779542004,0.16666666666666652,0.8283261802575107,0.0012919896640826874,0.06408644448750835
20210629,0.5424805292989685,0.476096987761887,0.16666666666666652,0.8326180257510729,0.10335917312661498,0.06551238485283593
20210630,0.5444938515188023,0.3115703189934367,0.16666666666666652,0.8412017167381974,0.07751937984496124,0.09952209253887577
20210701,0.5475351925807295,0.4822876959674414,0.16666666666666652,0.8841201716738197,0.0,0.15915523905291315
20210702,0.5498898070460496,0.36824682582901036,0.5,0.9012875536480687,0.0,0.0
20210703,0.5523936236080691,0.3930239889942965,0.5,0.8047210300429185,0.7751937984496123,0.0
20210704,0.5536455750360125,0.1851337021008283,0.5,0.778969957081545,0.27648578811369506,0.0
20210705,0.5549407596915132,0.19231320397810323,0.5,0.8197424892703863,0.0,0.0901645973110839
20210706,0.5580112680806146,0.4871313519245651,0.5,0.8626609442060086,0.0,0.049357830922687945
20210707,0.5606678247878962,0.4183886962253876,0.5,0.8862660944206009,0.16408268733850126,0.07197908925974698
20210708,0.5637985662964287,0.4971339313863174,0.5,0.8776824034334764,0.03746770025839793,0.16207425876278123
20210709,0.567374152691303,0.5710068499039866,0.5,0.8669527896995708,0.0,0.07895086189664564
20210710,0.5706035280902504,0.5135135135135135,0.5,0.8755364806866953,0.006459948320413436,0.0
20210711,0.5723844609252309,0.27297870511020034,0.5,0.871244635193133,0.00516795865633075,0.0
20210712,0.5739049588684597,0.22972972972972971,0.5,0.9227467811158799,0.0,0.04744589590101273
20210713,0.5777364928739819,0.6135106474448998,0.5,0.9377682403433477,0.0,0.06658966029202405
20210714,0.5815817476044176,0.6157891719927774,0.5,0.9570815450643777,0.0,0.06524154010714771
20210715,0.5860342522796036,0.7166317961652001,0.5,0.9442060085836911,0.0,0.3231391440085328
20210716,0.5901874035288497,0.6669198360608752,0.5,0.9377682403433477,0.0,0.029496900162812027
20210717,0.593694558886892,0.5596428878507351,0.5,0.9442060085836911,0.0,0.0
20210718,0.5960032650147662,0.3606230833166146,0.5,0.9549356223175967,0.0,0.0
20210719,0.5982859103946918,0.3562953197099539,0.5,0.8862660944206009,0.8708010335917313,0.06505843380020356
20210720,0.6025620304049539,0.6873405749333639,0.5,0.9184549356223176,0.0,0.016664199817809224
20210721,0.6065908321913058,0.646269811699292,0.5,0.9742489270386266,0.0,0.10481767952428982
20210722,0.6104951119270292,0.625591126651572,0.5,0.9892703862660944,0.0,0.2541477393237579
20210723,0.6143253515245408,0.6132956922988736,0.5,0.9892703862660944,0.0,0.0
20210724,0.6179685923114409,0.5822418388696224,0.5,1.0,0.0,0.0
20210725,0.6199379909527785,0.30427617437161447,0.5,0.9957081545064378,0.0,0.0
20210726,0.6215774881391236,0.2494912728210713,0.5,0.9892703862660944,0.0,0.09364590597185962
20210727,0.626432639999503,0.7834971769224155,0.5,0.9871244635193134,0.0,0.10941898842920729
20210728,0.631351821909478,0.7941302914791779,0.5,0.9721030042918455,0.0,0.07246508391609459
20210729,0.6358297832755408,0.720859247370382,0.5,0.9549356223175967,0.0,0.11448394755623215
20210730,0.6397528750743529,0.628715141440486,0.5,0.9742489270386266,0.0,0.0
20210731,0.6437097077753104,0.6343183055802355,0.5,0.9592274678111589,0.03875968992248062,0.0
20210801,0.6456914464396832,0.30632541343039754,0.5,0.9012875536480687,0.2713178294573643,0.0
20210802,0.6474879984646595,0.2755724972055831,0.5,0.8884120171673819,0.021963824289405683,0.10497942342875716
20210803,0.6515793633048619,0.6566593104238915,0.5,0.9206008583690988,0.0,0.056097668904124015
20210804,0.6553960547651947,0.6110458284371327,0.5,0.9399141630901288,0.0,0.02429668104559805
20210805,0.6592093807646999,0.6104869450574646,0.5,0.9506437768240343,0.0,0.37125414087283726
20210806,0.6629386565373774,0.5965291909088303,0.5,0.9227467811158799,0.0,0.0
20210807,0.6667594901033447,0.6117336849044165,0.5,0.9206008583690988,0.0,0.0
20210808,0.6694789550399458,0.42883551632226075,0.5,0.8948497854077253,0.16408268733850126,0.0
20210809,0.6721011667880101,0.4126852196841592,0.5,0.9270386266094421,0.0,0.0
20210810,0.6767830405626911,0.754721848041042,0.5,0.9141630901287554,0.0,0.0
